Rank,Player,Type,Team,Tag
145,"Tyler Shough",OFF,"",""
146,"Romeo Doubs",OFF,"",""
147,"Tyjae Spears",OFF,"",""
148,"Deebo Samuel Sr.",OFF,"",""
149,"Quay Walker",LB,"LV","2-LB Producer / LB14"
150,"Emanuel Wilson",OFF,"",""
151,"Juwan Johnson",OFF,"",""
152,"Tank Bigsby",OFF,"",""
153,"Hunter Henry",OFF,"",""
154,"Tremaine Edmunds",LB,"NYG","🟢 Green Dot / LB15"
155,"Jonah Coleman",OFF,"",""
156,"Tyrone Tracy Jr.",OFF,"",""
157,"Zach Charbonnet",OFF,"",""
158,"De'Zhaun Stribling",OFF,"",""
159,"Alex Singleton",LB,"DEN","🟢 Green Dot / LB16"
160,"Jonathon Brooks",OFF,"",""
161,"Brenton Strange",OFF,"",""
162,"Chig Okonkwo",OFF,"",""
163,"Alvin Kamara",OFF,"",""
164,"Zaire Franklin",LB,"GB","🟢 Green Dot / LB17"
165,"Rashid Shaheed",OFF,"",""
166,"Denzel Boston",OFF,"",""
167,"Dalton Schultz",OFF,"",""
168,"Adonai Mitchell",OFF,"",""
169,"Sonny Styles",LB,"WAS","🟢 Green Dot Rookie / LB18"
170,"Brian Robinson",OFF,"",""
171,"Isiah Pacheco",OFF,"",""
172,"Tre Tucker",OFF,"",""
173,"Jauan Jennings",OFF,"",""
174,"Edgerrin Cooper",LB,"GB","93% Snap Playmaker / LB19"
175,"Jalen McMillan",OFF,"",""
176,"Jerry Jeudy",OFF,"",""
177,"Braelon Allen",OFF,"",""
178,"AJ Barner",OFF,"",""
179,"Robert Spillane",LB,"NE","🟢 Green Dot / LB20"
180,"Mike Washington Jr.",OFF,"",""
181,"Dontayvion Wicks",OFF,"",""
182,"Oronde Gadsden",OFF,"",""
183,"Jalen Nailor",OFF,"",""
184,"Kaden Elliss",LB,"NO","🟢 Green Dot / LB21"
185,"Tre' Harris",OFF,"",""
186,"Ray Davis",OFF,"",""
187,"Omar Cooper Jr.",OFF,"",""
188,"Kayshon Boutte",OFF,"",""
189,"Devin Lloyd",LB,"CAR","🟢 Green Dot / LB22"
190,"Pat Bryant",OFF,"",""
191,"Ryan Flournoy",OFF,"",""
192,"Emmett Johnson",OFF,"",""
193,"Malik Washington",OFF,"",""
194,"Devin Bush Jr.",LB,"CHI","3-Down LB2 / LB23"
195,"Sean Tucker",OFF,"",""
196,"Keenan Allen",OFF,"",""
197,"Kimani Vidal",OFF,"",""
198,"Tank Dell",OFF,"",""
199,"CJ Allen",LB,"IND","Starting ILB / LB24"
200,"Calvin Ridley",OFF,"",""
201,"Jaylin Noel",OFF,"",""
202,"Travis Hunter",OFF,"",""
203,"Nicholas Singleton",OFF,"",""
204,"Daiyan Henley",LB,"LAC","🟢 Green Dot / LB25"
205,"Rashod Bateman",OFF,"",""
206,"Isaac TeSlaa",OFF,"",""
207,"Jaydon Blue",OFF,"",""
208,"Azeez Al-Shaair",LB,"HOU","🟢 Green Dot / LB26"
209,"Kaytron Allen",OFF,"",""
210,"James Conner",OFF,"",""
211,"Darnell Mooney",OFF,"",""
212,"Troy Franklin",OFF,"",""
213,"T.J. Edwards",LB,"CHI","🟢 Green Dot / LB27"
214,"Keaton Mitchell",OFF,"",""
215,"Cooper Kupp",OFF,"",""
216,"George Holani",OFF,"",""
217,"Jaylen Wright",OFF,"",""
218,"Patrick Queen",LB,"PIT","🟢 Green Dot / LB28"
219,"T.J. Hockenson",OFF,"",""
220,"Germie Bernard",OFF,"",""
221,"Ollie Gordon II",OFF,"",""
222,"Zachariah Branch",OFF,"",""
223,"Nakobe Dean",LB,"LV","🟢 Green Dot / LB29"
224,"Devaughn Vele",OFF,"",""
225,"Antonio Williams",OFF,"",""
226,"Malachi Fields",OFF,"",""
227,"Justice Hill",OFF,"",""
228,"Terrel Bernard",LB,"BUF","🟢 Green Dot / LB30"
229,"Jack Bech",OFF,"",""
230,"Isaiah Davis",OFF,"",""
231,"Kaelon Black",OFF,"",""
232,"Demond Claiborne",OFF,"",""
233,"Barrett Carter",LB,"CIN","🟢 Green Dot / LB31"
234,"Elic Ayomanor",OFF,"",""
235,"Tory Horton",OFF,"",""
236,"Najee Harris",OFF,"",""
237,"Keon Coleman",OFF,"",""
238,"Quincy Williams",LB,"CLE","High-Tackle WLB / LB32"
239,"Samaje Perine",OFF,"",""
240,"Ted Hurst III",OFF,"",""
241,"Jordan James",OFF,"",""
242,"Ja'Kobi Lane",OFF,"",""
243,"Alex Anzalone",LB,"TB","🟢 Green Dot / LB33"
244,"Chimere Dike",OFF,"",""
245,"Ty Johnson",OFF,"",""
246,"Chris Bell",OFF,"",""
247,"LeQuint Allen Jr.",OFF,"",""
248,"Demario Davis",LB,"NYJ","🟢 Green Dot / LB34"
249,"Tyquan Thornton",OFF,"",""
250,"Darius Slayton",OFF,"",""
251,"DJ Giddens",OFF,"",""
252,"Christian Kirk",OFF,"",""
253,"Divine Deablo",LB,"ATL","🟢 Green Dot / LB35"
254,"Malik Davis",OFF,"",""
255,"Elijah Sarratt",OFF,"",""
256,"Xavier Legette",OFF,"",""
257,"Josh Jacobs",OFF,"",""
258,"Mack Wilson Sr.",LB,"ARI","🟢 Green Dot / LB36"
259,"Trey Benson",OFF,"",""
260,"Devin Neal",OFF,"",""
261,"Seth McGowan",OFF,"",""
262,"Marvin Mims Jr.",OFF,"",""
263,"Eric Wilson",LB,"MIN","2-LB Rotational / LB37"
264,"Adam Randall",OFF,"",""
265,"Kendre Miller",OFF,"",""
266,"Caleb Douglas",OFF,"",""
267,"Brashard Smith",OFF,"",""
268,"Tyrel Dodson",LB,"MIA","Interior LB / LB38"
269,"Devin Singletary",OFF,"",""
270,"Emari Demercado",OFF,"",""
271,"Hollywood Brown",OFF,"",""
272,"Trevor Etienne",OFF,"",""
273,"Dee Winters",LB,"DAL","WLB Sub-Package / LB39"
274,"Mack Hollins",OFF,"",""
275,"Kaleb Johnson",OFF,"",""
276,"Cyrus Allen",OFF,"",""
277,"DeMarvion Overshown",LB,"DAL","🟢 Green Dot / LB40"
278,"Myles Garrett",DL,"LAR","⚡ [Consensus DL1 / #1 Pass Rush Win Rate - LAR]"
279,"Maxx Crosby",DL,"LV","⚡ [Consensus DL2 / Snaps Leader - LV]"
280,"Will Anderson Jr.",DL,"HOU","⚡ [DL3 / DeMeco Ryans Front - HOU]"
281,"Brian Burns",DL,"NYG","⚡ [DL4 / Speed Rusher - NYG]"
282,"Andrew Van Ginkel",DL,"MIN","⚡ [DL5 / Flores Blitz Weapon - MIN]"
283,"Byron Young",DL,"LAR","⚡ [DL6 / Pass Rush Producer - LAR]"
284,"Nik Bonitto",DL,"DEN","⚡ [DL7 / Vance Joseph Scheme - DEN]"
285,"T.J. Watt",DL,"PIT","⚡ [DL8 / Strip-Sack King - PIT]"
286,"Danielle Hunter",DL,"HOU","⚡ [DL9 / Veteran Anchor - HOU]"
287,"Nick Bosa",DL,"SF","⚡ [DL10 / Elite Pressure Rate - SF]"
288,"Dallas Turner",DL,"MIN","⚡ [DL11 / Breakout EDGE - MIN]"
289,"Chris Jones",DT,"KC","⚡ [DT1 / Interior Wrecking Ball - KC]"
290,"Greg Rousseau",DL,"BUF","⚡ [DL12 / Edge Run Stopper - BUF]"
291,"Aidan Hutchinson",DL,"DET","⚡ [DL13 / Elite Motor - DET]"
292,"Jeffery Simmons",DT,"TEN","⚡ [DT2 / Interior Power - TEN]"
293,"Chamarri Conner",DB,"KC","🎯 [Consensus DB1 / Spagnuolo Box Role - KC]"
294,"Antoine Winfield Jr.",DB,"TB","🎯 [Consensus DB2 / High Sack & Tackle Floor - TB]"
295,"DeShon Elliott",DB,"PIT","🎯 [DB3 / Down-in-Box Strong Safety - PIT]"
296,"Minkah Fitzpatrick",DB,"NYJ","🎯 [DB4 / Free-Roaming Centerfielder - NYJ]"
297,"Kyle Hamilton",DB,"BAL","🎯 [DB5 / Versatile Defensive Chess Piece - BAL]"
298,"Grant Delpit",DB,"CLE","🎯 [DB6 / Box Enforcer - CLE]"
299,"Jeremy Chinn",DB,"LV","🎯 [DB7 / Hybrid LB-Safety - LV]"
300,"Tykee Smith",DB,"TB","🎯 [DB8 / High-Volume Nickel Back - TB]"
301,"Paulson Adebo",CB,"NYG","🎯 [CB1 / High-Tackle Boundary Corner - NYG]"
302,"Quentin Lake",DB,"LAR","🎯 [DB9 / Full-Time Slot Defender - LAR]"
303,"Camryn Bynum",DB,"IND","🎯 [🟢 Green Dot Safety / Massive Tackle Floor - IND]"
304,"Jessie Bates III",DB,"ATL","🎯 [DB10 / Turnover Specialist - ATL]"
305,"Derwin James Jr.",DB,"LAC","🎯 [DB11 / In-the-Box Playmaker - LAC]"
306,"Budda Baker",DB,"ARI","🎯 [DB12 / High-Motor Run Stuffer - ARI]"
307,"Nick Emmanwori",DB,"SEA","🎯 [DB13 / Physical Box Safety - SEA]"
