Rank,Player,Type,Team,Notes
150,"Kaytron Allen",OFF,"",""
151,"James Conner",OFF,"",""
152,"Los Angeles Rams DEF",DEF,"LAR","⚡ DST3 / Myles Garrett Addition + Kobie Turner"
153,"Darnell Mooney",OFF,"",""
154,"Troy Franklin",OFF,"",""
155,"Keaton Mitchell",OFF,"",""
156,"Cooper Kupp",OFF,"",""
157,"George Holani",OFF,"",""
158,"Jaylen Wright",OFF,"",""
159,"T.J. Hockenson",OFF,"",""
160,"Seattle Seahawks DEF",DEF,"SEA","⚡ DST4 / Mike Macdonald Scheme + Witherspoon"
161,"Germie Bernard",OFF,"",""
162,"Ollie Gordon II",OFF,"",""
163,"Zachariah Branch",OFF,"",""
164,"Devaughn Vele",OFF,"",""
165,"Antonio Williams",OFF,"",""
166,"Malachi Fields",OFF,"",""
167,"Justice Hill",OFF,"",""
168,"Philadelphia Eagles DEF",DEF,"PHI","🎖️ DST5 / Vic Fangio Front + Jalen Carter & Baun"
169,"Jack Bech",OFF,"",""
170,"Isaiah Davis",OFF,"",""
171,"Kaelon Black",OFF,"",""
172,"Demond Claiborne",OFF,"",""
173,"Elic Ayomanor",OFF,"",""
174,"Tory Horton",OFF,"",""
175,"Najee Harris",OFF,"",""
176,"Jacksonville Jaguars DEF",DEF,"JAC","🎖️ DST6 / Ryan Nielsen Sacks (Walker + Hines-Allen)"
177,"Keon Coleman",OFF,"",""
178,"Samaje Perine",OFF,"",""
179,"Ted Hurst III",OFF,"",""
180,"Jordan James",OFF,"",""
181,"Ja'Kobi Lane",OFF,"",""
182,"Chimere Dike",OFF,"",""
183,"Ty Johnson",OFF,"",""
184,"Pittsburgh Steelers DEF",DEF,"PIT","🎖️ DST7 / T.J. Watt Strip-Sack Floor & Turnovers"
185,"Chris Bell",OFF,"",""
186,"LeQuint Allen Jr.",OFF,"",""
187,"Tyquan Thornton",OFF,"",""
188,"Darius Slayton",OFF,"",""
189,"DJ Giddens",OFF,"",""
190,"Christian Kirk",OFF,"",""
191,"Malik Davis",OFF,"",""
192,"Los Angeles Chargers DEF",DEF,"LAC","🎯 DST8 / Jesse Minter #1 Low-Scoring Anchor"
193,"Elijah Sarratt",OFF,"",""
194,"Xavier Legette",OFF,"",""
195,"Josh Jacobs",OFF,"",""
196,"Trey Benson",OFF,"",""
197,"Devin Neal",OFF,"",""
198,"Seth McGowan",OFF,"",""
199,"Marvin Mims Jr.",OFF,"",""
200,"Baltimore Ravens DEF",DEF,"BAL","🎯 DST9 / Roquan Smith & Hamilton Turnover Engine"
201,"Adam Randall",OFF,"",""
202,"Kendre Miller",OFF,"",""
203,"Caleb Douglas",OFF,"",""
204,"Brashard Smith",OFF,"",""
205,"Devin Singletary",OFF,"",""
206,"Emari Demercado",OFF,"",""
207,"Hollywood Brown",OFF,"",""
208,"San Francisco 49ers DEF",DEF,"SF","🎯 DST10 / Nick Bosa & Warner Floor"
209,"Trevor Etienne",OFF,"",""
210,"Mack Hollins",OFF,"",""
211,"Kaleb Johnson",OFF,"",""
212,"Cyrus Allen",OFF,"",""
213,"Cleveland Browns DEF",DEF,"CLE","🚀 DST11 / Jim Schwartz Attack Front & Schwesinger"
214,"Kansas City Chiefs DEF",DEF,"KC","🚀 DST12 / Steve Spagnuolo Blitz Specialist"
