Rank,Player,Type,Team,Tag
146,"Nick Bolton",LB,"KC","🟢 Green Dot / LB13"
147,"Romeo Doubs",OFF,"",""
148,"Tyjae Spears",OFF,"",""
149,"Deebo Samuel Sr.",OFF,"",""
150,"Juwan Johnson",OFF,"",""
151,"Quay Walker",LB,"LV","2-LB Producer / LB14"
152,"Tank Bigsby",OFF,"",""
153,"Hunter Henry",OFF,"",""
154,"Jonah Coleman",OFF,"",""
155,"Tyrone Tracy Jr.",OFF,"",""
156,"Tremaine Edmunds",LB,"NYG","🟢 Green Dot / LB15"
157,"Zach Charbonnet",OFF,"",""
158,"De'Zhaun Stribling",OFF,"",""
159,"Jonathon Brooks",OFF,"",""
160,"Brenton Strange",OFF,"",""
161,"Alex Singleton",LB,"DEN","🟢 Green Dot / LB16"
162,"Chig Okonkwo",OFF,"",""
163,"Dylan Sampson",OFF,"",""
164,"Alvin Kamara",OFF,"",""
165,"Rashid Shaheed",OFF,"",""
166,"Zaire Franklin",LB,"GB","🟢 Green Dot / LB17"
167,"Denzel Boston",OFF,"",""
168,"Dalton Schultz",OFF,"",""
169,"Adonai Mitchell",OFF,"",""
170,"Brian Robinson",OFF,"",""
171,"Sonny Styles",LB,"WAS","🟢 Green Dot Rookie / LB18"
172,"Isiah Pacheco",OFF,"",""
173,"Tre Tucker",OFF,"",""
174,"Jauan Jennings",OFF,"",""
175,"Jalen McMillan",OFF,"",""
176,"Edgerrin Cooper",LB,"GB","93% Snap Playmaker / LB19"
177,"Jerry Jeudy",OFF,"",""
178,"Braelon Allen",OFF,"",""
179,"AJ Barner",OFF,"",""
180,"MarShawn Lloyd",OFF,"",""
181,"Robert Spillane",LB,"NE","🟢 Green Dot / LB20"
182,"Mike Washington Jr.",OFF,"",""
183,"Dontayvion Wicks",OFF,"",""
184,"Oronde Gadsden",OFF,"",""
185,"Jalen Nailor",OFF,"",""
186,"Kaden Elliss",LB,"NO","🟢 Green Dot / LB21"
187,"Tre' Harris",OFF,"",""
188,"Ray Davis",OFF,"",""
189,"Omar Cooper Jr.",OFF,"",""
190,"Kayshon Boutte",OFF,"",""
191,"Devin Lloyd",LB,"CAR","🟢 Green Dot / LB22"
192,"Pat Bryant",OFF,"",""
193,"Ryan Flournoy",OFF,"",""
194,"Emmett Johnson",OFF,"",""
195,"Malik Washington",OFF,"",""
196,"Devin Bush Jr.",LB,"CHI","3-Down LB2 / LB23"
197,"Sean Tucker",OFF,"",""
198,"Keenan Allen",OFF,"",""
199,"Kimani Vidal",OFF,"",""
200,"Tank Dell",OFF,"",""
201,"CJ Allen",LB,"IND","Starting ILB / LB24"
202,"Calvin Ridley",OFF,"",""
203,"Jaylin Noel",OFF,"",""
204,"Travis Hunter",OFF,"",""
205,"Nicholas Singleton",OFF,"",""
206,"Daiyan Henley",LB,"LAC","🟢 Green Dot / LB25"
207,"Xavier Watts",OFF,"",""
208,"Rashod Bateman",OFF,"",""
209,"Isaac TeSlaa",OFF,"",""
210,"Jaydon Blue",OFF,"",""
211,"Azeez Al-Shaair",LB,"HOU","🟢 Green Dot / LB26"
212,"Kaytron Allen",OFF,"",""
213,"Emanuel Wilson",OFF,"",""
214,"James Conner",OFF,"",""
215,"Darnell Mooney",OFF,"",""
216,"T.J. Edwards",LB,"CHI","🟢 Green Dot / LB27"
217,"Troy Franklin",OFF,"",""
218,"Keaton Mitchell",OFF,"",""
219,"Cooper Kupp",OFF,"",""
220,"George Holani",OFF,"",""
221,"Patrick Queen",LB,"PIT","🟢 Green Dot / LB28"
222,"Jaylen Wright",OFF,"",""
223,"T.J. Hockenson",OFF,"",""
224,"Germie Bernard",OFF,"",""
225,"Ollie Gordon II",OFF,"",""
226,"Nakobe Dean",LB,"LV","🟢 Green Dot / LB29"
227,"Zachariah Branch",OFF,"",""
228,"Devaughn Vele",OFF,"",""
229,"Antonio Williams",OFF,"",""
230,"Malachi Fields",OFF,"",""
231,"Terrel Bernard",LB,"BUF","🟢 Green Dot / LB30"
232,"Justice Hill",OFF,"",""
233,"Jack Bech",OFF,"",""
234,"Isaiah Davis",OFF,"",""
235,"Kaelon Black",OFF,"",""
236,"Barrett Carter",LB,"CIN","🟢 Green Dot / LB31"
237,"Demond Claiborne",OFF,"",""
238,"Elic Ayomanor",OFF,"",""
239,"Tory Horton",OFF,"",""
240,"Najee Harris",OFF,"",""
241,"Quincy Williams",LB,"CLE","High-Tackle WLB / LB32"
242,"Keon Coleman",OFF,"",""
243,"Samaje Perine",OFF,"",""
244,"Ted Hurst III",OFF,"",""
245,"Jordan James",OFF,"",""
246,"Alex Anzalone",LB,"TB","🟢 Green Dot / LB33"
247,"Ja'Kobi Lane",OFF,"",""
248,"Chimere Dike",OFF,"",""
249,"Ty Johnson",OFF,"",""
250,"Chris Bell",OFF,"",""
251,"Demario Davis",LB,"NYJ","🟢 Green Dot / LB34"
252,"LeQuint Allen Jr.",OFF,"",""
253,"Tyquan Thornton",OFF,"",""
254,"Darius Slayton",OFF,"",""
255,"DJ Giddens",OFF,"",""
256,"Divine Deablo",LB,"ATL","🟢 Green Dot / LB35"
257,"Christian Kirk",OFF,"",""
258,"Malik Davis",OFF,"",""
259,"Elijah Sarratt",OFF,"",""
260,"Xavier Legette",OFF,"",""
261,"Mack Wilson Sr.",LB,"ARI","🟢 Green Dot / LB36"
262,"Trey Benson",OFF,"",""
263,"Devin Neal",OFF,"",""
264,"Seth McGowan",OFF,"",""
265,"Marvin Mims Jr.",OFF,"",""
266,"Eric Wilson",LB,"MIN","2-LB Rotational / LB37"
267,"Adam Randall",OFF,"",""
268,"Kendre Miller",OFF,"",""
269,"Caleb Douglas",OFF,"",""
270,"Brashard Smith",OFF,"",""
271,"Tyrel Dodson",LB,"MIA","Interior LB / LB38"
272,"Devin Singletary",OFF,"",""
273,"Emari Demercado",OFF,"",""
274,"Hollywood Brown",OFF,"",""
275,"Trevor Etienne",OFF,"",""
276,"Dee Winters",LB,"DAL","WLB Sub-Package / LB39"
277,"Mack Hollins",OFF,"",""
278,"Kaleb Johnson",OFF,"",""
279,"Cyrus Allen",OFF,"",""
280,"Jeffery Simmons",OFF,"",""
281,"DeMarvion Overshown",LB,"DAL","🟢 Green Dot / LB40"
